16.05.2023                                    Salida dinámica de lista                                                                                         1


 Cta.mayor				*
 Sociedad				GV01


		 St	Asignación		Nº doc.	Fecha doc.	Fe.contab.	CT	 Importe en ML	ML	Texto	    ImpteML2	ML2	Lib.mayor

			COMPENSACIONES		113077767	24.04.2023	24.04.2023	40	 1.033.240,00	BOB	LP-COMPENSACIONES	 148.454,03	USD	101041002
			COMPENSACIONES		113077767	24.04.2023	24.04.2023	50	-1.033.240,00	BOB	LP-COMPENSACIONES	-148.454,03	USD	101041002
			TARIJA		113077968	24.04.2023	24.04.2023	40	     4.967,20	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/90/23	     713,68	USD	101041002
			TARIJA		113077968	24.04.2023	24.04.2023	50	-4.967,20	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/90/23	-713,68	USD	101041002
			CCAJ-TA06/90/23		113077379	24.04.2023	24.04.2023	40	     4.967,20	BOB	LP.TRASP.CAJ.MN.AG. TARIJEÑITA A MCSC 1329 21.04	     713,68	USD	101041002
			TARIJA		113077969	24.04.2023	24.04.2023	40	     2.990,50	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/89/23	     429,67	USD	101041002
			TARIJA		113077969	24.04.2023	24.04.2023	50	-2.990,50	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/89/23	-429,67	USD	101041002
			CCAJ-TA06/89/23		113077380	24.04.2023	24.04.2023	40	     2.990,50	BOB	LP.TRASP.CAJ.MN.AG. TARIJEÑITA A MCSC 1329 20.04	     429,67	USD	101041002
			14552-1015836 -CRE		2000342894	24.04.2023	24.04.2023	50	-147,00	BOB	14552-1015836 -CREDITO ACH -MARIA RENE AY	-21,12	USD	101041002
			9457-173063 GUTIER		2000342895	24.04.2023	24.04.2023	50	-3.444,70	BOB	9457-173063 GUTIERREZ CONDORI BELZA-DEP	-494,93	USD	101041002
			TRANSFERENCIA		113077703	24.04.2023	24.04.2023	40	   351.000,00	BOB	LP-CUOTA AHORRO 24-04	  50.431,03	USD	101041002
			TRANSFERENCIA		113077703	24.04.2023	24.04.2023	40	    62.296,00	BOB	LP-CUOTA AHORRO 24-04	   8.950,57	USD	101041002
			DISPAZ		113077966	24.04.2023	24.04.2023	40	     1.564,10	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/90/23	     224,73	USD	101041012
			DISPAZ		113077966	24.04.2023	24.04.2023	50	-1.564,10	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/90/23	-224,73	USD	101041012
